time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,11,8,8,16,10,8,11,14,12,9,9,13,9,8,9,11,8,10,12,12,9,10,7,7,12,11,9,14,10,9,8,10,10,11,8,9,11,8,10,11,10,9,12,11,11,10,9,10,10,7,11
2019-01-13,10,14,8,11,9,9,12,7,10,8,9,13,10,8,9,14,10,11,15,12,8,11,7,8,13,10,8,13,8,8,8,11,10,11,12,9,11,10,9,13,10,11,10,11,12,7,9,11,11,7,9
2019-01-20,10,12,8,12,9,8,9,8,11,9,9,10,11,8,9,10,9,11,15,11,9,10,6,8,15,10,10,14,9,9,7,10,10,11,11,8,13,13,9,11,10,11,11,11,10,9,9,14,11,7,7
2019-01-27,13,14,9,14,10,9,12,12,11,8,10,11,16,9,9,13,9,13,15,15,9,12,6,8,15,10,11,17,11,11,9,10,11,12,9,9,13,17,9,15,13,11,12,14,14,9,10,20,11,7,12
2019-02-03,14,12,9,14,11,9,11,12,15,9,10,13,12,9,11,11,10,11,14,13,11,11,7,7,15,10,12,16,10,10,9,9,12,13,10,9,16,12,11,13,13,16,13,15,13,9,10,13,14,7,11
2019-02-10,12,18,10,14,10,9,11,12,12,9,9,10,14,9,9,11,9,11,16,12,11,11,7,8,17,12,16,15,9,10,8,11,11,14,13,10,15,12,10,13,13,14,14,14,13,8,10,11,15,7,11
2019-02-17,12,15,8,16,10,10,10,12,12,9,10,9,12,9,10,11,10,11,14,13,11,10,7,8,16,11,12,14,11,10,8,12,10,14,13,10,16,10,10,11,12,12,12,14,14,9,10,11,14,8,16
2019-02-24,10,14,10,16,10,9,10,13,13,9,9,11,11,9,11,13,11,11,12,13,11,10,6,8,11,10,12,12,8,9,9,10,9,12,11,8,14,9,10,11,11,12,10,13,11,9,10,10,11,9,8
2019-03-03,10,11,9,14,11,10,12,15,14,9,9,14,11,9,12,14,12,11,13,11,10,11,7,8,15,11,10,13,11,10,9,10,11,11,10,10,15,12,10,14,10,10,11,13,13,7,10,13,13,9,12
2019-03-10,11,15,9,16,11,8,11,9,11,9,9,13,10,8,11,14,10,10,12,13,10,10,7,8,12,9,11,12,10,9,8,8,10,11,7,10,14,10,10,11,10,12,12,11,12,10,10,11,10,8,14
