time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,54,61,44,73,41,53,51,77,61,53,45,45,67,39,63,49,58,63,84,52,47,46,56,38,59,48,45,52,49,47,47,54,46,59,44,57,51,42,50,45,65,70,65,55,66,59,46,40,52,54,35
2019-01-13,63,83,51,63,39,48,37,46,64,57,46,48,71,40,63,42,55,52,69,44,40,45,48,40,60,49,40,37,48,47,51,57,46,56,56,63,55,45,42,57,55,49,65,57,62,39,56,40,59,47,49
2019-01-20,53,51,41,69,36,48,49,36,51,51,44,33,59,35,57,43,52,57,59,45,46,47,49,35,53,55,31,38,44,54,44,30,46,50,52,60,44,38,45,58,54,62,52,49,42,41,45,37,67,46,52
2019-01-27,56,43,47,71,41,50,49,37,60,49,44,58,66,36,60,44,51,51,60,42,48,42,52,40,63,54,38,44,33,53,41,40,42,48,46,56,59,46,51,63,51,52,65,55,47,84,47,37,48,58,75
2019-02-03,53,72,34,70,34,48,41,38,60,49,39,38,69,39,60,48,60,45,63,41,42,50,47,48,57,46,48,35,41,45,47,51,45,56,45,58,38,44,48,49,55,49,60,52,52,41,41,39,53,67,30
2019-02-10,58,43,46,69,36,52,37,32,65,50,39,52,82,39,61,53,63,58,54,42,48,37,47,40,59,49,53,42,38,25,43,48,51,56,57,62,47,44,48,36,54,64,60,51,47,44,54,32,61,53,47
2019-02-17,56,43,52,63,37,56,40,48,58,53,42,42,80,37,47,50,64,60,62,51,48,43,48,42,57,45,48,36,44,35,45,40,42,59,75,53,48,39,46,38,58,48,61,55,53,41,52,43,49,51,37
2019-02-24,58,46,40,69,39,53,45,47,69,54,37,38,67,38,65,56,57,43,61,50,41,40,51,63,55,46,43,49,41,44,48,44,40,51,42,51,52,39,47,64,60,61,65,51,54,16,45,36,64,59,41
2019-03-03,50,65,40,82,38,53,43,58,68,48,42,42,72,39,54,44,67,44,48,47,43,46,51,37,62,42,42,39,34,31,49,38,45,49,58,51,52,42,48,39,54,75,60,55,47,42,43,34,41,49,30
2019-03-10,52,35,41,61,36,48,45,53,52,54,38,41,64,37,50,39,48,52,52,57,50,48,46,36,54,49,42,78,42,29,45,43,47,48,57,49,47,38,49,44,56,52,52,48,41,32,46,35,54,55,49
2019-03-17,57,69,39,57,36,49,40,44,71,50,39,40,81,37,55,41,62,56,60,36,44,48,46,36,60,51,58,57,39,45,42,62,39,47,39,45,55,48,47,43,41,86,58,53,48,45,47,34,69,43,34
2019-03-24,51,60,44,63,38,54,44,55,68,54,44,47,69,38,58,53,75,56,61,49,47,45,42,36,50,45,33,46,42,68,49,47,49,50,50,53,68,40,45,41,52,56,59,54,53,41,51,39,49,48,38
2019-03-31,45,69,39,89,38,45,51,34,76,55,41,40,77,38,60,43,55,53,58,58,47,52,52,32,39,52,35,40,36,54,45,42,49,52,25,52,67,38,47,53,54,100,57,52,47,67,48,34,44,44,31
2019-04-07,54,52,46,72,35,52,40,42,70,52,44,57,81,37,49,55,50,48,56,47,43,46,47,51,55,45,47,57,40,66,47,44,44,60,39,52,60,47,47,61,47,46,53,55,54,45,46,42,69,58,68
2019-04-14,62,45,38,79,36,51,47,51,70,51,39,46,78,37,59,45,66,56,56,47,39,41,45,36,54,50,37,46,40,34,45,44,45,54,58,50,58,39,43,48,48,48,54,48,45,54,56,41,59,49,35
2019-04-21,56,66,40,67,41,51,49,31,61,47,43,31,67,37,60,42,60,34,54,54,41,40,44,28,73,57,43,41,39,49,47,56,40,52,47,50,52,35,44,51,50,51,56,51,48,43,43,40,65,46,59
2019-04-28,51,52,42,61,39,51,43,33,57,52,47,32,77,37,64,42,60,47,50,38,42,41,43,33,57,49,36,42,38,51,41,57,50,50,30,53,64,45,43,48,54,60,55,45,35,46,52,31,55,42,42
2019-05-05,50,48,41,49,39,50,36,51,53,48,48,48,75,39,56,45,63,43,52,40,41,42,46,35,73,46,56,35,38,52,47,41,40,50,46,52,48,36,44,54,55,56,52,49,61,39,50,42,46,42,41
2019-05-12,57,39,40,75,38,48,42,65,60,44,45,44,69,38,53,46,71,56,62,29,40,43,45,33,61,50,52,42,42,39,42,41,39,46,39,52,51,41,47,36,50,36,55,49,41,45,45,38,46,46,45
2019-05-19,58,30,45,70,35,44,37,59,55,49,39,50,72,34,52,43,70,52,65,48,41,40,53,31,57,45,55,45,49,43,42,48,42,49,43,48,64,36,46,52,57,94,64,50,57,32,46,31,61,47,45
2019-05-26,50,34,42,66,38,46,38,57,58,52,37,35,81,34,59,38,47,44,58,45,44,41,46,33,58,48,55,48,36,45,42,53,40,47,41,47,46,47,45,42,45,45,55,50,41,48,48,38,41,46,67
2019-06-02,51,55,43,66,37,49,43,38,59,51,43,40,70,34,47,38,58,45,49,45,40,41,42,29,57,51,44,32,26,56,52,41,43,52,34,45,45,41,41,47,37,45,56,53,44,38,49,37,42,48,52
2019-06-09,52,38,38,67,39,43,41,45,62,46,44,38,62,37,47,35,47,49,52,43,40,40,42,29,61,50,37,43,35,45,45,46,44,54,38,52,45,37,42,36,53,59,62,53,48,53,48,38,52,49,67
2019-06-16,52,82,53,61,40,50,41,41,63,49,42,41,73,36,55,53,58,44,56,40,46,43,45,32,65,54,49,45,40,42,44,52,48,51,37,49,56,37,51,53,62,60,61,56,47,61,50,43,41,48,76
2019-06-23,49,34,46,62,37,53,40,34,63,50,38,29,72,35,49,40,44,42,54,38,39,46,42,30,50,50,33,43,29,48,43,46,37,51,43,43,55,45,46,41,56,39,57,47,54,54,43,32,47,50,57
2019-06-30,48,65,40,69,34,41,39,37,48,46,39,30,79,32,56,37,35,49,56,47,37,38,48,29,66,50,56,41,34,50,48,43,36,45,27,52,60,38,43,46,51,66,63,50,57,48,40,33,44,41,42
2019-07-07,47,34,45,62,39,56,40,39,62,54,56,45,69,38,51,38,53,51,64,48,43,44,50,31,58,47,59,50,40,44,46,48,43,50,52,49,63,47,43,51,54,65,67,55,47,41,53,36,60,49,53
2019-07-14,70,48,47,77,37,53,43,28,76,53,43,48,78,35,56,40,58,57,57,55,45,38,38,41,50,53,54,40,34,42,47,51,45,53,51,55,46,51,45,51,56,66,61,49,47,42,51,40,64,47,38
2019-07-21,69,59,68,82,52,69,63,58,100,74,58,61,77,49,83,65,84,67,82,68,60,62,56,53,78,58,46,37,55,72,61,91,56,66,53,62,70,59,62,70,67,54,81,68,59,94,68,53,40,76,85
2019-07-28,54,62,41,79,40,48,39,62,56,55,44,34,72,34,55,36,52,53,49,53,40,45,52,37,84,46,51,41,44,43,42,64,44,47,40,52,58,44,47,44,60,64,68,52,54,56,44,39,56,51,59
2019-08-04,62,62,47,69,39,57,44,42,54,52,48,47,73,37,47,35,58,60,62,38,47,45,44,29,81,47,43,34,43,57,47,61,46,54,54,49,52,33,45,49,60,57,70,56,46,46,52,40,58,46,27
2019-08-11,62,70,48,74,39,56,40,39,55,54,46,46,72,38,64,60,76,55,67,53,47,43,46,36,74,67,49,33,40,57,49,48,49,53,53,49,55,47,48,50,58,90,69,54,39,71,51,42,46,43,81
2019-08-18,68,51,52,78,39,48,44,52,69,54,45,40,81,36,61,38,67,55,65,41,43,43,46,30,54,53,53,36,41,47,47,51,49,50,45,47,54,43,50,44,46,73,59,54,55,29,50,37,55,54,42
2019-08-25,51,43,45,73,42,46,41,52,45,48,43,50,72,38,61,47,64,50,53,41,44,45,47,33,58,57,50,45,38,48,47,52,40,45,41,51,50,46,44,29,52,68,74,49,45,44,47,41,55,49,67
2019-09-01,54,62,44,73,36,46,34,38,49,44,45,25,73,33,54,36,56,42,56,43,33,39,43,29,67,48,41,30,44,38,40,56,41,46,46,46,47,42,47,41,46,81,62,51,49,52,41,35,41,42,76
2019-09-08,63,41,48,70,38,55,47,37,74,46,42,30,62,36,48,46,64,51,50,44,46,42,50,32,57,40,36,33,38,65,42,42,44,58,26,48,46,35,50,44,48,56,62,52,48,49,49,40,59,52,61
2019-09-15,67,62,46,69,38,53,42,55,60,47,44,24,77,37,51,40,75,52,65,41,44,41,52,34,58,58,62,40,42,43,49,53,48,55,44,50,53,43,46,45,49,59,57,52,53,50,48,39,51,49,47
2019-09-22,58,49,54,70,42,51,43,57,48,54,42,53,80,37,59,56,63,52,63,34,48,48,49,35,51,48,50,48,35,41,42,55,44,53,45,48,55,34,45,49,52,56,58,54,50,43,56,34,58,45,68
2019-09-29,51,77,47,66,37,49,45,47,65,50,43,35,70,34,56,45,51,56,56,45,45,47,46,33,71,58,31,42,39,45,43,50,50,47,41,53,55,41,51,65,48,53,55,57,38,75,48,37,40,50,47
2019-10-06,48,24,41,72,36,50,42,39,65,47,40,25,71,33,48,40,45,58,64,50,47,43,48,31,60,46,31,42,41,44,39,50,40,50,50,54,45,41,45,49,56,56,58,51,41,64,45,32,54,51,36
2019-10-13,47,33,37,69,35,43,37,52,63,50,43,32,62,36,53,49,47,62,70,42,45,43,46,29,69,45,55,25,53,41,38,42,43,52,50,45,45,42,40,35,46,83,56,50,52,55,45,33,50,45,39
2019-10-20,49,52,42,67,38,43,38,43,56,49,40,36,78,36,48,41,64,56,48,44,40,39,44,32,70,47,35,49,32,40,43,50,47,51,34,45,52,44,46,57,48,52,67,53,46,39,46,32,49,41,63
2019-10-27,52,48,43,57,36,47,43,47,58,50,40,33,63,34,49,50,57,51,58,35,42,38,47,34,100,48,50,36,45,38,43,33,43,49,43,47,52,37,48,49,51,67,62,47,52,36,41,28,41,44,35
2019-11-03,52,52,46,70,37,51,43,45,62,54,41,46,69,41,60,48,54,51,47,39,48,44,46,36,62,67,53,35,45,37,43,37,50,54,47,50,59,37,52,49,50,46,63,50,38,56,53,39,52,49,57
2019-11-10,54,72,45,57,36,46,29,47,43,47,39,29,60,31,46,46,46,50,52,38,38,42,51,32,91,59,25,45,45,35,40,55,42,47,30,44,54,26,42,45,53,57,49,47,35,36,49,35,60,49,31
2019-11-17,53,53,42,75,35,45,37,39,63,49,45,41,61,33,59,41,49,50,63,27,38,46,53,31,87,57,46,42,43,29,42,50,44,50,47,51,44,43,41,49,53,43,73,54,55,45,44,40,59,54,60
2019-11-24,60,55,40,51,31,40,33,29,37,43,39,32,71,29,52,43,46,42,50,32,37,35,43,39,51,50,31,33,34,31,36,46,36,44,48,44,45,32,39,35,55,91,45,44,34,41,40,31,42,48,52
2019-12-01,68,68,46,63,36,46,46,43,55,49,45,37,67,40,54,44,59,56,52,27,47,37,47,32,74,55,29,40,44,32,45,40,45,58,42,51,57,36,49,47,49,52,61,51,46,42,50,34,53,61,42
2019-12-08,70,49,42,76,37,51,42,57,51,49,42,30,74,36,52,47,52,52,64,33,46,41,49,39,54,48,36,37,43,33,51,52,46,57,48,48,64,48,54,53,60,58,51,54,54,58,44,38,54,61,77
2019-12-15,57,45,42,68,37,48,31,37,46,52,46,37,73,33,57,41,73,42,52,46,41,34,50,32,66,46,50,43,31,37,44,38,42,54,28,52,52,45,48,49,50,37,61,48,42,49,47,33,44,51,50
2019-12-22,50,18,41,64,30,40,35,38,36,41,36,33,74,31,44,31,42,49,51,30,29,34,47,51,55,44,55,35,37,50,34,46,35,42,40,49,42,34,42,44,38,54,63,47,46,43,36,35,42,46,74
2019-12-29,57,55,44,75,32,48,36,45,40,50,41,36,57,35,59,52,62,51,56,30,37,35,51,58,66,51,48,75,35,43,44,29,41,53,38,45,67,45,50,46,57,72,61,49,42,48,40,40,66,57,45
2020-01-05,61,43,42,86,34,50,52,42,69,52,44,42,63,40,60,49,65,58,62,56,39,42,53,40,62,56,41,61,45,61,48,48,44,66,46,51,56,39,50,36,66,51,61,56,45,35,53,40,56,53,52
2020-01-12,63,41,41,68,36,50,38,56,56,51,43,49,62,34,54,49,61,49,58,34,44,39,46,59,52,54,44,44,33,28,43,46,45,56,42,54,53,45,46,52,49,52,74,54,49,42,51,34,55,59,23
2020-01-19,59,51,42,73,34,51,43,42,63,48,47,53,64,32,57,50,49,52,64,53,36,45,47,41,64,52,69,49,47,41,42,55,44,52,25,50,59,33,47,47,54,90,58,50,39,41,52,37,57,56,52
2020-01-26,67,69,42,76,33,47,35,43,55,47,41,49,62,30,57,45,57,60,53,49,40,42,44,34,59,50,46,34,36,45,43,58,42,51,47,48,50,33,47,56,53,59,52,48,45,63,42,37,52,42,27
