time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,52,23,48,50,50,39,54,60,73,65,72,51,73,56,51,46,57,67,51,54,82,64,78,43,29,51,41,44,57,43,72,67,66,56,51,62,40,52,61,54,59,51,55,53,63,54,89,49,52,40,70
2019-01-13,45,53,46,39,45,38,48,61,76,66,72,55,61,61,46,37,44,58,58,39,81,60,71,41,24,43,35,41,46,48,66,52,67,59,49,61,38,49,55,62,58,51,56,53,52,41,84,40,40,41,60
2019-01-20,49,23,41,46,43,35,45,55,58,64,69,63,56,55,45,40,51,61,51,41,82,61,76,39,26,51,36,34,37,37,66,61,69,59,29,57,41,46,53,65,59,52,56,53,43,55,92,41,45,33,76
2019-01-27,44,76,48,57,48,37,57,45,79,68,67,63,46,59,49,36,46,58,61,47,83,61,71,36,24,48,46,41,60,39,67,54,69,53,50,66,36,60,54,75,54,32,55,52,49,60,95,47,44,33,34
2019-02-03,48,69,48,56,48,32,50,45,74,68,76,58,48,58,56,39,55,56,54,46,74,62,75,39,25,54,36,46,41,44,67,41,70,59,36,65,37,57,58,60,58,41,54,55,49,42,81,39,44,33,68
2019-02-10,52,81,51,48,51,42,53,61,66,66,67,75,41,59,55,34,49,60,59,44,76,59,76,32,23,52,29,48,54,50,69,48,69,57,38,58,42,60,60,60,63,33,56,55,52,62,75,39,50,38,62
2019-02-17,49,52,50,51,50,50,54,48,65,69,74,54,53,75,61,42,62,63,60,37,82,64,71,38,21,53,36,57,38,51,68,48,70,61,42,59,30,66,60,63,65,52,59,56,57,57,74,54,46,39,46
2019-02-24,47,67,54,49,53,48,60,61,82,69,82,65,64,64,58,53,63,69,58,52,84,68,78,46,25,58,48,50,48,51,73,55,72,65,45,61,48,63,59,71,63,59,55,57,58,58,78,49,60,38,63
2019-03-03,49,54,51,45,56,60,59,59,72,73,75,59,83,67,59,57,60,69,62,54,81,71,78,39,36,59,44,57,49,55,75,60,71,66,50,68,43,65,70,63,70,38,62,62,44,60,81,47,63,41,51
2019-03-10,58,45,61,52,58,56,63,65,84,74,81,46,75,72,63,56,58,61,68,44,84,76,82,44,33,74,35,52,45,69,77,49,80,62,46,69,44,67,69,75,74,53,67,65,60,67,82,63,57,48,63
2019-03-17,80,100,69,63,73,70,67,74,78,84,89,88,71,83,77,78,73,74,77,59,88,90,94,63,42,81,38,65,55,79,91,68,82,80,43,81,56,71,82,77,82,76,75,76,62,79,92,72,80,60,94
2019-03-24,100,85,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,59,100,53,100,100,100,100,100,100,100,95,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,73
2019-03-31,50,31,50,48,46,45,52,46,78,67,73,50,48,64,53,42,54,60,62,51,79,66,74,53,30,52,42,52,51,43,71,50,72,59,48,67,43,65,58,64,64,31,47,55,62,38,80,46,43,36,61
2019-04-07,49,31,48,46,45,39,58,56,65,65,69,68,57,63,49,40,55,61,57,51,75,67,77,43,29,48,40,41,47,47,70,52,73,59,50,62,43,67,57,68,66,25,54,55,47,53,74,51,48,43,51
2019-04-14,55,40,45,44,47,38,59,60,72,68,76,53,59,62,49,47,60,58,58,52,79,62,77,41,24,52,50,43,50,47,74,38,69,56,52,64,44,48,60,69,74,31,52,55,58,73,81,49,38,51,62
2019-04-21,54,87,53,39,49,39,53,60,64,70,78,69,59,62,52,44,50,60,63,45,71,68,77,57,29,62,36,43,52,46,70,43,71,52,42,61,44,53,61,71,68,34,59,52,55,37,80,45,45,48,57
2019-04-28,54,54,46,54,50,41,61,56,73,70,77,68,49,65,59,51,53,62,60,56,79,67,79,46,25,54,56,50,51,44,75,37,76,56,39,65,44,43,65,75,69,49,57,57,51,44,74,48,68,50,100
2019-05-05,53,30,48,51,54,49,59,45,70,67,79,34,46,61,51,43,47,64,66,38,73,71,75,44,25,57,51,51,46,44,70,46,71,59,52,68,49,54,60,66,67,51,59,54,61,84,82,58,51,42,64
