time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,67,81,61,63,53,59,62,51,60,60,55,68,69,51,63,70,61,63,64,62,57,63,59,56,76,66,71,59,71,80,60,71,58,71,42,70,72,68,61,68,60,60,68,55,67,68,57,59,74,64,39
2019-01-13,68,64,57,72,52,63,58,65,49,61,57,62,61,51,65,76,63,68,71,65,61,57,57,50,69,65,65,62,56,62,59,66,63,70,50,68,64,62,59,64,61,78,72,56,54,44,55,61,71,65,46
2019-01-20,64,50,58,63,50,62,61,50,55,61,57,56,60,49,64,67,65,56,68,45,55,51,49,51,67,60,81,58,62,67,58,64,61,66,49,67,67,60,57,69,62,54,71,52,54,63,58,58,57,59,47
2019-01-27,61,56,58,61,52,62,54,65,58,58,59,63,67,47,63,68,59,58,64,53,55,56,56,51,73,64,62,58,59,67,53,58,56,62,38,67,62,59,57,55,61,72,60,55,45,63,53,56,66,57,44
2019-02-03,56,78,54,58,49,59,55,63,58,54,54,61,61,48,62,73,62,58,67,49,60,53,55,51,69,63,65,60,67,67,56,57,61,64,45,64,71,65,55,49,61,57,59,52,48,60,49,53,67,60,41
2019-02-10,61,68,58,61,49,56,51,56,56,60,55,66,61,47,66,67,58,60,63,59,58,54,48,48,73,65,83,69,66,56,54,60,60,66,41,67,58,59,57,51,64,79,55,50,52,43,50,50,57,61,69
2019-02-17,62,82,63,58,54,61,55,55,61,62,60,75,73,52,66,74,69,60,72,68,60,55,57,50,76,71,79,69,62,70,62,60,53,71,58,68,67,63,62,54,67,68,63,59,57,85,57,60,58,65,47
2019-02-24,65,86,59,67,53,61,60,69,74,63,57,68,70,49,72,71,63,62,71,72,58,54,60,60,74,64,68,78,63,67,57,63,58,71,44,67,66,61,61,57,64,55,65,60,66,67,55,62,72,61,50
2019-03-03,68,64,58,63,51,64,56,61,65,65,58,62,63,48,65,74,68,62,70,66,61,49,56,58,70,65,59,59,64,68,59,65,64,66,34,61,64,64,63,69,70,69,65,56,59,75,60,58,57,65,61
2019-03-10,58,46,56,56,49,60,52,58,55,60,54,67,59,47,62,70,61,54,65,64,56,52,57,52,59,61,76,62,61,58,60,62,63,63,45,62,62,63,57,59,64,76,57,51,52,56,51,60,77,53,53
2019-03-17,55,76,53,50,48,52,51,48,53,59,50,58,57,48,60,66,55,56,55,63,50,57,54,53,75,61,59,49,60,61,50,62,49,61,45,60,52,53,55,59,62,74,55,52,49,69,55,57,65,55,42
2019-03-24,55,61,57,57,48,52,53,53,52,56,54,54,56,48,61,69,68,66,59,65,54,52,51,53,70,56,68,66,65,53,54,59,53,58,42,62,78,56,54,61,69,73,63,56,49,89,53,56,72,51,41
2019-03-31,56,77,54,52,46,57,50,45,61,56,51,57,61,49,60,75,58,55,55,54,54,53,50,48,71,62,63,57,59,55,52,62,57,58,46,61,61,60,56,53,60,70,58,55,44,68,52,51,70,56,36
2019-04-07,59,51,50,56,46,52,49,50,56,57,53,61,59,45,60,66,48,48,59,43,53,51,49,50,68,57,55,67,65,64,51,61,55,64,42,56,62,57,52,59,54,58,55,52,56,73,51,54,58,55,44
2019-04-14,57,85,56,59,48,56,54,59,58,55,53,57,53,47,62,53,50,59,64,43,53,48,48,53,57,60,65,53,59,66,52,58,49,59,40,55,69,56,59,57,57,52,61,50,49,62,51,62,54,59,56
2019-04-21,54,48,55,62,45,58,48,48,56,56,55,53,57,45,56,67,59,57,60,56,53,52,46,45,53,53,50,60,61,54,47,49,48,56,45,63,51,52,54,66,58,71,52,53,43,53,51,54,51,58,41
2019-04-28,59,57,54,57,48,62,53,44,46,55,60,62,57,50,55,61,68,53,58,50,56,52,52,48,68,61,51,65,60,53,52,63,60,61,37,61,69,62,55,57,56,55,58,51,55,52,51,59,48,58,54
2019-05-05,52,87,51,54,48,65,55,46,64,54,64,53,56,47,55,65,61,50,64,58,54,50,49,53,50,58,69,60,54,58,52,66,54,64,49,61,62,60,54,56,60,58,66,50,49,54,54,53,63,60,46
2019-05-12,54,66,57,53,49,58,53,62,50,56,53,60,60,49,56,68,69,52,58,51,56,48,49,49,62,52,78,54,57,69,56,63,51,65,37,62,61,56,53,44,61,79,56,53,49,69,52,58,57,60,55
2019-05-19,55,65,57,56,48,61,45,56,45,52,48,57,65,45,58,66,53,49,57,60,52,49,54,50,45,59,62,65,54,63,53,53,50,57,35,56,57,56,52,49,59,57,55,53,55,36,50,55,57,59,32
2019-05-26,56,69,54,60,47,49,51,58,41,52,52,58,57,46,54,69,58,48,62,43,55,49,53,52,46,53,60,60,62,65,56,52,51,55,36,57,63,50,53,53,61,53,51,53,50,53,50,54,53,60,68
2019-06-02,55,88,50,55,50,55,55,50,59,52,56,45,63,49,60,53,58,52,62,58,57,53,52,51,47,54,63,66,51,55,52,51,51,65,42,64,57,60,55,57,61,62,64,55,53,73,55,60,62,63,39
2019-06-09,56,73,47,56,46,49,54,55,50,48,50,54,46,46,53,59,59,53,64,56,52,46,52,53,45,55,63,44,48,45,54,51,55,55,42,59,58,61,55,56,56,59,57,53,45,58,54,54,57,63,50
2019-06-16,51,75,55,54,46,54,54,61,52,52,55,41,60,48,54,63,64,59,66,59,57,52,52,48,44,59,70,50,56,43,54,49,61,55,48,60,69,56,54,50,61,76,59,53,53,50,51,57,59,60,65
2019-06-23,58,66,52,54,45,50,49,52,63,51,53,61,64,51,50,62,58,50,64,63,54,51,50,46,42,56,66,49,53,61,52,56,46,56,46,57,61,58,54,54,58,55,62,52,58,77,53,61,53,56,47
2019-06-30,53,60,48,49,44,52,45,60,43,53,52,59,60,44,57,64,55,50,55,57,57,45,50,54,44,56,52,53,55,68,52,53,48,53,39,64,63,63,56,52,54,53,59,50,49,65,49,55,45,57,40
2019-07-07,61,56,52,49,47,54,48,59,47,51,53,62,68,46,53,56,64,52,70,60,58,49,54,53,53,64,42,71,55,60,49,50,51,54,56,59,64,60,56,44,57,68,58,53,46,70,54,56,57,64,45
2019-07-14,55,65,59,51,49,55,46,57,47,53,56,61,61,51,56,66,62,56,65,67,59,48,53,56,45,60,85,65,53,53,50,53,55,52,39,62,72,61,57,46,60,62,61,51,50,62,53,56,55,63,61
2019-07-21,60,84,56,61,51,58,53,51,52,53,54,51,61,47,60,73,72,50,59,59,58,51,56,49,52,61,78,52,63,57,54,58,54,59,39,56,60,58,57,71,66,54,54,54,57,76,53,59,55,59,60
2019-07-28,61,66,55,53,48,58,52,65,49,55,56,62,67,49,60,62,58,57,66,71,57,55,55,65,42,66,68,53,58,60,53,55,56,57,52,60,64,59,58,66,64,58,66,54,51,65,54,55,57,62,69
