time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,97,81,73,86,87,84,78,74,68,88,79,82,76,87,92,88,86,80,92,86,75,88,90,80,83,87,86,75,79,83,95,81,89,87,74,94,88,82,88,87,89,93,88,75,90,87,91,74,100,92,81
2019-01-13,94,83,77,88,88,94,84,83,75,87,80,74,80,90,85,81,92,85,97,94,80,81,85,82,80,82,83,91,77,82,96,78,90,83,78,92,73,81,89,77,85,94,87,79,75,88,98,75,83,85,75
2019-01-20,85,92,74,81,89,84,85,63,86,91,79,97,87,92,86,83,85,75,100,100,84,86,88,85,80,86,89,93,72,71,95,72,91,76,68,88,88,76,90,77,91,77,83,77,79,87,85,74,80,85,83
2019-01-27,86,89,73,73,85,86,80,80,82,88,86,88,84,92,81,79,88,73,89,78,86,89,86,86,77,91,84,87,80,75,86,80,85,77,81,88,84,80,82,74,86,85,85,79,84,85,85,76,85,85,78
2019-02-03,94,100,75,87,84,91,85,75,82,86,80,94,73,88,84,82,84,79,87,94,83,87,86,83,83,83,72,82,69,69,86,72,93,77,71,90,86,85,86,73,88,72,80,83,74,90,86,78,87,81,67
2019-02-10,88,75,74,82,82,91,75,75,83,87,76,92,75,84,85,77,85,75,92,86,84,84,80,82,89,82,91,83,82,77,86,86,86,77,77,89,80,78,85,81,86,88,86,76,72,83,83,71,93,80,78
2019-02-17,83,87,77,85,80,85,77,74,63,90,77,91,85,85,83,81,89,76,92,83,86,80,86,78,86,82,79,75,75,78,91,83,88,80,80,84,77,80,85,74,83,90,79,78,73,76,82,74,91,83,77
2019-02-24,84,65,72,85,86,83,77,77,86,87,79,84,73,87,81,85,84,77,90,80,89,85,83,79,87,85,83,79,70,64,93,72,88,80,68,82,79,79,86,85,85,71,80,81,80,93,86,70,84,82,100
2019-03-03,73,68,70,78,82,82,73,68,74,89,79,85,71,86,82,80,78,75,83,78,77,82,85,83,82,79,83,76,74,77,87,71,85,77,66,85,76,78,82,70,90,69,84,75,73,70,85,74,85,84,82
2019-03-10,77,98,64,78,83,83,78,89,64,92,74,83,79,89,85,80,74,73,92,82,82,90,86,85,69,83,86,86,76,92,88,69,87,75,76,88,86,76,89,89,84,76,82,72,77,80,85,71,80,91,66
2019-03-17,78,82,69,65,82,82,81,69,66,89,72,84,73,90,86,79,84,79,79,92,82,89,81,82,77,79,87,76,71,73,91,68,81,76,81,78,67,80,85,86,84,73,77,74,71,70,84,73,86,79,88
2019-03-24,75,78,76,82,80,79,85,76,64,88,75,77,70,86,78,84,87,75,81,76,78,87,80,77,83,84,84,72,75,66,89,70,86,74,67,79,89,73,87,77,82,80,78,83,74,66,82,73,96,80,80
2019-03-31,88,79,71,78,80,85,81,69,81,90,70,89,82,90,73,81,88,62,84,78,73,84,77,87,78,79,86,79,72,69,87,77,86,73,100,81,95,78,85,88,87,85,82,78,73,68,83,68,92,85,68
2019-04-07,90,85,74,83,82,88,80,85,93,92,77,96,83,87,82,88,92,73,89,87,75,87,85,86,75,83,95,83,75,73,87,75,86,84,76,80,100,80,88,100,91,93,85,81,69,78,91,78,81,85,72
2019-04-14,83,92,76,74,84,91,75,86,88,91,81,96,90,91,87,81,81,77,88,87,81,81,89,82,88,87,81,83,73,76,92,75,87,81,76,89,96,80,95,75,86,79,87,79,73,57,83,81,94,85,61
2019-04-21,75,81,72,86,84,92,79,67,97,83,84,93,82,88,83,85,80,76,85,91,79,83,88,83,78,81,78,80,81,78,82,74,85,70,66,83,88,84,88,85,85,78,84,78,85,64,83,75,74,86,75
2019-04-28,91,81,76,78,83,86,81,84,80,87,88,79,79,90,85,82,78,74,87,80,78,84,82,87,79,88,77,90,78,75,90,79,89,75,95,90,86,80,85,81,90,82,78,77,80,72,81,70,90,85,85
2019-05-05,89,96,72,88,87,91,86,92,75,86,88,91,77,92,77,79,91,77,93,77,76,82,82,82,81,88,86,84,75,80,83,73,89,75,84,89,87,82,86,80,84,80,82,75,74,65,87,74,74,87,78
2019-05-12,100,79,74,86,87,91,81,82,79,90,82,94,85,94,83,91,93,73,90,71,86,86,90,84,82,81,100,81,79,84,93,80,90,79,85,92,85,86,89,85,86,77,81,79,78,81,84,74,83,89,85
2019-05-19,83,76,74,81,89,88,82,75,77,83,78,93,84,91,83,82,79,70,89,74,81,74,91,88,83,87,81,80,76,67,89,75,87,78,78,84,85,89,84,79,93,97,82,81,79,91,84,78,76,87,86
2019-05-26,76,79,72,79,91,85,86,86,84,88,80,88,83,94,83,79,82,68,80,99,84,90,89,78,72,75,88,80,72,70,92,77,86,76,79,82,76,87,82,88,89,86,77,78,73,91,81,75,90,85,84
2019-06-02,78,86,74,70,90,89,80,90,86,87,84,85,91,87,77,80,74,72,87,88,91,91,86,83,75,81,75,81,77,89,100,76,93,81,75,81,75,80,90,77,84,61,83,76,82,70,87,79,87,87,67
2019-06-09,84,85,73,75,86,84,77,76,88,85,77,72,86,90,72,80,86,72,78,85,88,84,86,76,64,77,92,81,72,94,96,82,91,75,68,81,76,81,84,84,82,69,80,75,80,83,84,80,77,87,82
2019-06-16,88,70,69,76,88,88,82,90,81,82,76,78,80,88,73,80,77,71,87,85,85,88,82,83,74,83,75,81,68,78,96,83,93,69,66,80,74,75,79,78,82,77,82,75,77,78,78,77,91,82,81
2019-06-23,80,96,73,71,83,87,77,74,85,83,69,77,79,85,77,69,82,67,83,79,80,80,80,82,70,81,80,82,62,75,84,68,86,70,79,80,77,80,74,77,83,71,83,75,67,66,75,71,82,82,72
2019-06-30,76,76,69,70,76,81,66,78,65,83,79,78,77,77,72,66,67,62,77,87,75,73,80,75,65,71,73,81,64,72,83,73,78,64,64,79,68,73,75,74,84,75,77,67,75,70,74,72,72,76,74
2019-07-07,79,71,66,78,81,76,69,79,80,83,79,82,78,82,69,74,77,67,79,80,79,78,76,70,73,77,83,72,71,70,83,71,85,68,63,76,74,77,75,67,83,72,76,69,75,67,73,74,69,78,80
2019-07-14,82,75,72,77,79,82,71,89,76,84,74,84,84,83,74,67,72,62,85,71,79,80,81,78,70,76,77,80,72,73,81,69,86,70,65,81,69,75,80,74,80,77,83,69,73,70,80,70,84,72,80
2019-07-21,82,83,69,79,82,80,72,76,71,85,76,77,82,86,69,74,75,65,92,85,77,84,82,82,68,75,85,81,73,78,84,74,87,69,65,80,76,86,77,74,79,86,80,69,77,77,74,74,96,79,92
2019-07-28,79,90,75,64,81,89,76,76,78,84,79,78,79,81,69,79,71,71,84,80,75,79,85,81,78,78,79,75,71,83,81,76,81,72,69,75,72,83,81,64,80,83,87,70,79,62,76,74,71,77,73
2019-08-04,82,93,75,75,79,80,70,68,70,87,81,88,76,83,81,75,75,75,83,95,78,75,80,82,77,80,86,81,72,86,81,65,82,71,66,82,76,76,79,69,86,78,90,71,74,78,76,74,76,76,76
2019-08-11,90,79,77,83,83,83,69,72,73,89,87,79,79,88,99,70,89,71,92,78,74,78,84,79,79,83,80,82,72,82,85,74,84,72,75,82,79,80,81,76,77,81,91,73,71,68,81,76,86,76,77
2019-08-18,96,94,78,84,83,98,68,68,74,93,89,86,83,92,100,81,100,76,100,88,81,79,80,78,78,97,84,92,80,71,85,89,83,78,83,86,89,83,84,75,89,91,93,80,77,73,87,82,84,83,75
2019-08-25,93,98,72,92,89,93,69,82,100,89,85,77,88,93,90,94,90,76,90,82,79,77,87,86,85,98,90,89,85,76,79,88,79,78,79,92,85,79,84,78,100,92,100,83,79,87,88,77,89,91,83
2019-09-01,90,74,72,83,80,88,75,85,68,87,82,88,82,88,86,85,87,72,84,86,75,79,84,84,77,84,68,82,78,77,82,77,82,80,90,86,82,76,85,68,84,82,81,81,74,67,80,74,96,87,61
2019-09-08,81,94,75,81,87,97,75,97,75,88,81,85,87,96,85,94,92,80,99,91,80,87,93,89,88,90,83,100,82,87,89,78,86,88,84,89,82,78,90,84,91,94,81,81,86,83,92,79,83,92,94
2019-09-15,92,92,83,82,84,91,73,84,81,88,86,86,87,93,90,96,91,74,90,93,79,89,90,95,75,89,80,81,79,80,90,79,92,80,89,82,94,84,93,89,92,97,88,83,81,74,88,82,91,94,90
2019-09-22,86,89,73,80,83,85,79,83,90,88,82,81,78,91,88,96,84,77,89,91,78,83,88,89,74,89,97,84,79,77,88,69,86,79,83,80,81,77,90,91,87,86,85,81,78,91,89,78,84,89,79
2019-09-29,85,88,76,76,85,92,83,96,81,88,83,88,82,90,85,93,84,77,84,83,83,80,85,89,79,87,98,82,75,67,88,76,84,81,78,89,87,81,84,85,96,78,82,80,78,69,84,75,85,91,79
2019-10-06,88,68,68,79,82,87,76,80,75,87,73,88,79,85,79,90,76,76,92,92,84,83,89,90,78,82,88,87,74,74,84,75,86,76,83,86,79,83,88,85,84,89,73,79,83,81,81,74,91,89,82
2019-10-13,75,75,75,67,81,89,71,73,88,89,78,88,89,85,73,83,89,84,91,89,78,78,90,85,76,89,82,77,75,68,85,74,82,77,71,84,85,71,85,87,81,84,84,76,81,74,89,73,85,83,72
2019-10-20,82,74,76,72,84,88,72,83,87,84,75,77,79,87,82,87,83,84,80,91,83,83,89,90,83,83,99,82,74,82,84,74,84,76,74,84,80,82,86,79,81,87,86,78,76,78,83,74,84,88,78
2019-10-27,84,81,72,80,77,89,78,71,84,85,75,78,75,81,77,93,83,74,81,87,83,82,83,92,100,87,83,77,75,82,81,70,85,76,87,80,85,76,86,73,86,91,91,76,77,64,84,71,95,84,82
2019-11-03,85,92,74,88,82,87,85,79,68,87,83,77,80,78,78,87,85,76,88,75,78,78,83,86,85,100,80,84,72,80,81,72,84,72,73,83,84,85,83,79,85,83,85,77,77,85,82,75,98,88,79
2019-11-10,81,77,74,80,81,89,75,76,84,84,79,83,83,78,84,87,81,71,87,98,79,79,90,90,86,90,84,83,67,75,83,73,85,74,77,83,87,76,90,82,83,99,82,76,83,83,83,77,89,90,75
2019-11-17,85,69,75,85,84,87,81,79,90,86,80,90,75,77,90,93,87,76,84,79,78,82,95,85,84,98,85,76,73,74,87,75,87,75,85,84,87,77,90,89,89,90,85,79,79,79,87,76,85,88,68
2019-11-24,81,65,71,63,74,77,75,73,78,77,71,83,67,76,78,77,83,75,84,78,76,73,83,79,72,84,79,73,64,83,82,64,78,71,69,78,75,76,79,72,77,94,78,66,69,74,76,68,81,85,60
2019-12-01,80,88,74,84,79,87,73,86,78,80,77,79,76,81,79,85,78,73,91,70,82,80,89,83,72,84,89,81,81,74,83,76,85,80,77,79,85,78,84,74,84,85,84,73,74,79,81,75,85,85,89
2019-12-08,90,77,72,79,79,80,82,70,75,84,80,83,86,82,84,82,77,71,95,68,81,85,89,88,78,84,79,82,73,73,85,75,89,78,93,77,78,82,88,74,91,73,80,74,79,84,81,76,86,85,82
2019-12-15,85,77,70,80,78,85,74,83,81,86,77,83,80,84,84,87,84,74,84,90,81,83,89,85,79,87,81,84,73,73,86,80,84,78,79,88,79,79,88,90,86,97,85,74,73,89,87,71,84,91,65
2019-12-22,78,86,73,79,77,89,76,68,60,87,80,90,79,83,78,83,87,75,94,87,80,78,86,98,76,86,67,88,71,89,85,74,83,71,79,88,76,76,86,77,84,67,97,72,77,71,78,73,87,81,95
2019-12-29,87,65,71,81,77,86,84,81,63,86,76,83,74,84,79,86,76,76,85,78,83,81,89,88,75,88,89,81,72,75,86,64,88,77,78,89,82,85,92,93,80,96,85,70,78,87,80,74,100,92,71
2020-01-05,79,74,71,80,74,84,79,82,60,78,75,76,73,83,84,80,86,78,89,78,75,77,85,80,76,82,83,78,70,70,81,71,80,77,57,84,82,77,81,76,82,85,75,70,84,91,78,73,77,80,82
2020-01-12,82,72,69,83,72,82,80,74,78,82,76,84,72,79,75,78,70,72,87,67,70,74,81,83,73,80,76,73,63,82,76,76,80,76,74,80,81,74,83,73,81,71,80,73,71,74,75,68,74,78,74
