time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,69,61,46,49,56,46,59,64,59,47,58,27,52,58,56,62,54,48,72,42,41,55,60,44,50,50,53,50,47,44,62,41,59,72,27,55,63,53,59,45,66,55,45,58,47,36,61,56,31,64,81
2019-01-13,58,30,43,33,52,41,50,31,63,49,43,61,41,55,55,52,49,48,48,35,57,45,40,41,38,53,29,35,43,47,55,44,58,53,40,53,59,58,48,53,54,42,44,50,44,36,52,45,53,51,46
2019-01-20,59,30,36,59,52,53,59,38,50,48,45,53,38,61,52,69,46,59,58,45,49,69,58,40,56,57,43,55,44,28,56,46,64,60,53,50,58,52,63,61,55,19,46,50,39,44,67,55,42,49,40
2019-01-27,50,45,38,44,53,48,56,45,66,46,45,31,35,62,68,65,46,41,52,33,52,50,49,38,51,56,29,51,45,40,47,48,66,59,40,54,55,53,59,50,43,46,44,50,35,44,58,48,45,55,23
2019-02-03,56,33,36,36,51,43,50,35,49,49,50,27,44,60,38,57,44,42,59,45,48,54,53,44,40,53,34,29,39,39,56,47,69,48,36,51,40,45,59,46,42,42,40,53,47,39,49,50,35,51,45
2019-02-10,47,33,45,36,54,40,50,47,53,47,40,17,32,58,64,66,54,37,48,34,55,57,47,43,33,47,28,53,29,48,45,41,58,46,35,47,66,51,58,26,51,22,39,47,45,44,52,44,35,47,34
2019-02-17,52,30,43,47,50,45,54,31,46,59,46,50,45,51,57,59,58,47,58,49,48,60,54,39,44,56,43,50,40,37,60,43,63,64,26,59,46,50,57,52,40,41,41,48,48,61,49,49,38,64,51
2019-02-24,46,40,37,41,51,41,48,41,49,49,44,53,47,55,52,47,35,40,44,48,53,45,45,39,53,41,42,61,52,31,50,42,55,55,31,46,53,42,47,46,55,45,40,51,62,30,56,44,37,56,61
2019-03-03,42,26,40,53,51,38,46,56,47,49,43,27,32,51,52,58,40,39,53,41,50,54,49,42,39,49,55,43,48,36,54,55,60,51,45,49,48,49,52,53,51,38,42,45,43,58,58,46,38,43,46
2019-03-10,43,34,44,49,48,51,39,34,62,45,37,24,19,47,42,47,36,41,57,41,46,56,43,46,32,41,40,49,27,41,46,27,54,56,18,45,39,42,47,35,46,42,42,44,47,31,51,40,52,52,46
