time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,66,67,76,100,83,66,78,62,60,73,63,74,77,70,73,63,65,54,65,47,69,61,81,68,31,55,66,45,60,70,72,72,70,90,54,84,77,87,63,61,87,96,66,88,62,43,87,70,62,58,68
2019-01-13,58,66,70,64,72,63,65,64,87,64,61,56,49,65,62,65,52,56,65,44,63,63,51,56,34,50,52,35,69,80,80,57,67,76,49,55,78,68,54,62,73,45,64,71,58,55,71,75,60,56,45
2019-01-20,65,33,57,49,72,73,66,63,46,64,66,57,58,74,64,64,54,45,55,46,65,72,51,54,32,58,74,42,60,60,75,50,69,73,35,58,74,65,57,36,72,50,54,74,76,50,75,68,48,54,59
2019-01-27,49,52,65,44,71,50,55,55,62,60,61,39,46,63,63,56,48,44,55,31,61,59,50,48,34,45,60,34,58,43,69,27,64,65,32,48,61,62,49,46,65,29,61,65,66,54,68,58,36,48,30
2019-02-03,80,71,59,83,76,75,66,51,54,76,76,58,45,74,76,59,68,76,89,36,61,78,40,53,49,42,60,46,55,70,70,47,63,87,42,65,65,73,59,46,96,73,84,84,73,33,73,71,74,60,66
2019-02-10,49,19,64,68,68,49,74,48,48,61,49,63,54,58,60,46,55,42,46,53,71,62,50,43,29,40,60,34,52,41,66,58,61,76,28,63,59,61,46,61,63,59,52,63,64,46,56,50,31,44,22
2019-02-17,44,32,62,51,64,52,49,57,63,56,56,43,46,61,59,46,53,56,52,29,67,65,49,41,27,43,43,29,53,41,60,38,57,72,24,54,50,61,47,46,55,35,53,55,68,33,58,48,33,54,44
2019-02-24,31,32,56,60,71,53,67,60,76,56,50,37,65,62,63,47,77,42,42,50,61,56,41,42,39,46,42,45,67,48,72,53,64,66,34,45,48,67,51,58,60,34,47,74,65,37,65,55,43,55,51
2019-03-03,36,33,63,56,73,61,53,82,59,64,54,46,41,65,61,66,75,61,51,32,64,64,55,52,27,50,44,45,71,61,69,50,67,71,64,65,54,59,59,49,60,35,51,70,75,38,66,65,49,61,45
2019-03-10,44,92,96,76,90,93,100,92,74,83,59,68,93,87,80,76,84,71,81,51,100,90,83,63,35,68,39,52,91,94,93,69,100,97,84,92,60,74,81,64,73,75,75,76,73,72,100,85,79,96,44
2019-03-17,59,33,80,45,78,78,79,70,72,74,62,50,84,86,86,79,65,67,68,51,83,81,71,69,40,63,65,34,77,83,88,75,74,98,60,79,48,73,69,77,68,100,71,82,85,51,81,67,63,70,45
2019-03-24,64,85,71,70,74,61,66,78,66,70,58,66,44,72,77,55,88,62,65,41,72,73,68,56,36,58,48,47,61,64,77,60,71,85,49,59,77,68,61,51,60,70,68,81,84,63,76,67,48,71,22
2019-03-31,52,33,77,64,81,68,80,73,64,72,54,60,44,85,85,63,72,45,47,71,72,80,57,66,35,66,66,48,67,84,81,78,73,84,60,66,82,72,61,73,72,76,62,76,80,47,64,68,44,88,68
2019-04-07,48,40,83,63,75,66,76,52,62,68,64,68,61,77,76,69,67,49,55,39,69,70,60,61,31,59,53,40,68,86,86,67,85,73,35,61,86,57,59,71,74,40,46,77,77,42,78,86,54,79,53
2019-04-14,58,55,72,69,89,80,88,64,69,73,72,67,67,83,75,64,58,48,59,48,71,89,65,76,34,74,51,47,83,87,76,84,93,88,26,69,79,93,76,65,58,53,58,85,64,84,74,100,56,76,54
2019-04-21,58,54,100,63,93,96,85,75,72,81,66,65,90,88,76,100,56,57,65,73,90,96,74,88,40,69,81,26,100,80,89,91,92,91,47,80,90,90,73,72,90,51,69,87,60,65,89,100,45,95,69
2019-04-28,46,67,85,75,92,94,91,74,72,75,80,100,58,91,83,89,87,59,75,67,76,80,66,83,54,83,48,54,89,89,90,83,87,87,50,76,73,93,71,86,68,96,60,84,60,47,70,75,69,83,98
2019-05-05,51,13,71,77,95,71,82,84,70,70,73,63,55,82,85,80,68,44,65,39,79,88,54,76,43,69,65,40,91,75,83,94,78,86,74,69,77,88,67,64,63,70,54,74,68,59,74,79,77,87,67
2019-05-12,47,20,69,53,90,67,67,59,62,61,66,62,58,82,68,61,75,57,50,49,61,76,48,77,37,47,48,50,64,72,78,87,83,67,46,70,80,95,64,78,61,65,47,73,81,55,69,60,49,74,45
2019-05-19,47,33,71,51,78,63,70,60,47,65,59,50,55,81,65,52,54,44,57,48,61,63,55,77,43,62,66,52,67,64,80,94,71,72,52,52,52,85,62,49,69,90,51,75,73,38,69,71,43,68,59
2019-05-26,50,72,68,65,77,56,75,60,63,66,67,41,52,73,80,70,70,49,57,55,68,67,44,69,40,47,43,69,78,52,76,59,73,68,28,61,69,85,51,72,70,44,44,71,51,62,68,53,50,61,81
2019-06-02,55,39,71,93,77,65,75,51,64,61,67,43,71,78,72,55,59,52,83,62,72,66,47,66,67,54,56,61,85,76,77,78,71,97,31,61,77,72,54,67,80,69,62,76,51,58,74,73,52,57,58
2019-06-09,57,46,66,71,86,57,79,52,64,64,66,35,48,81,69,67,48,49,75,53,67,63,59,67,57,58,68,60,75,70,80,69,78,87,38,68,68,68,56,48,64,68,56,78,50,45,70,76,55,74,66
2019-06-16,56,66,75,65,82,54,85,55,71,68,67,44,53,75,66,64,53,60,64,49,72,60,58,76,66,43,35,64,73,36,77,62,84,75,42,53,64,73,51,56,64,40,60,72,54,30,69,62,60,59,82
2019-06-23,41,33,58,59,78,69,76,63,65,58,54,35,72,69,62,57,68,40,51,60,60,53,63,63,36,53,39,46,72,58,74,63,73,66,38,64,69,67,54,64,58,74,56,69,60,46,65,64,38,50,37
2019-06-30,59,33,64,59,87,69,85,49,80,61,62,40,58,69,75,50,59,41,65,49,68,72,54,69,36,53,39,39,69,61,84,53,71,75,46,64,55,70,55,75,64,55,56,73,73,68,69,77,48,69,52
2019-07-07,57,46,67,41,94,65,76,75,71,65,67,42,77,85,73,78,85,45,58,51,69,75,59,71,42,66,53,28,68,48,92,74,80,73,53,62,71,73,63,45,71,51,50,81,67,47,79,77,41,67,59
2019-07-14,43,53,57,45,71,60,64,55,58,64,55,52,71,60,67,55,42,40,36,29,61,60,46,55,25,46,71,38,65,48,74,53,70,64,39,54,52,75,49,76,46,36,48,63,47,64,52,54,59,54,68
2019-07-21,40,68,63,66,70,57,53,42,68,55,53,31,64,65,63,41,49,42,53,40,61,59,51,77,34,61,59,21,65,37,68,55,70,61,54,57,56,53,47,60,49,52,40,62,51,31,66,65,37,62,38
2019-07-28,49,48,66,45,74,64,72,45,63,66,71,43,63,76,60,56,57,41,61,60,62,62,62,84,30,49,50,33,60,57,82,47,67,69,29,57,68,77,49,46,62,26,51,68,55,48,62,65,62,54,38
2019-08-04,40,14,78,45,77,63,83,68,100,71,69,53,45,76,75,47,71,38,67,55,77,71,60,91,41,44,27,27,69,57,83,56,85,71,65,61,60,51,51,62,56,57,63,70,53,30,64,83,47,66,53
2019-08-11,50,46,72,49,72,52,58,47,51,63,69,66,50,72,59,53,45,50,42,37,71,70,54,84,42,62,49,50,81,34,71,83,62,66,43,55,56,63,53,58,62,46,51,64,54,43,64,65,37,73,30
2019-08-18,56,52,83,54,73,63,54,63,59,100,83,85,78,76,72,47,64,49,62,60,69,65,48,78,43,48,74,39,64,58,82,59,65,87,35,54,56,50,65,55,74,20,65,69,76,42,67,62,43,62,66
