time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,81,76,91,80,92,88,89,85,77,85,82,81,85,87,85,79,97,86,75,90,88,90,92,92,68,85,72,85,93,89,91,91,83,89,87,89,81,91,92,94,83,100,86,84,91,100,87,90,97,93,72
2019-01-13,84,78,93,88,88,83,83,80,80,83,84,84,88,85,87,82,87,82,81,83,87,86,87,91,64,88,81,88,86,83,86,83,85,85,93,91,84,80,88,89,86,99,83,83,88,92,91,85,91,87,94
2019-01-20,78,78,87,79,87,89,84,74,87,83,83,86,78,88,89,84,87,84,77,89,88,87,85,87,67,91,72,90,84,84,85,91,88,79,89,88,86,84,92,96,79,88,82,84,85,87,89,90,83,83,82
2019-01-27,80,72,85,78,85,87,83,73,91,82,87,89,79,88,84,83,87,78,74,88,79,86,90,87,65,88,67,86,89,86,78,74,83,82,79,86,80,83,85,91,83,75,83,79,81,76,86,82,81,94,85
2019-02-03,82,69,86,79,85,84,79,75,81,83,85,85,81,82,87,84,91,81,84,82,85,86,89,90,70,87,85,90,87,85,76,81,84,83,76,91,88,84,86,88,85,83,84,86,86,79,85,90,94,88,95
2019-02-10,84,86,86,76,87,88,82,76,79,83,79,88,81,86,83,81,87,84,80,87,85,87,86,87,67,86,72,84,91,81,83,78,86,90,80,86,83,85,90,85,83,90,82,81,86,93,82,89,81,81,98
2019-02-17,79,73,95,80,85,82,81,73,82,83,80,79,71,82,85,78,84,79,79,75,87,80,83,83,65,84,79,91,91,82,79,88,77,88,76,84,81,83,89,78,83,78,82,82,85,99,83,85,94,86,80
2019-02-24,82,72,91,85,92,93,85,80,80,89,80,84,91,91,91,80,87,87,84,89,93,89,85,87,75,87,73,93,85,73,86,84,83,88,76,85,85,83,88,91,86,86,86,91,90,88,93,91,89,89,90
2019-03-03,86,80,100,90,100,96,100,87,100,100,93,90,87,100,95,88,100,89,87,96,100,100,98,95,76,96,84,97,96,96,100,89,100,97,93,95,99,91,100,100,92,81,95,94,100,80,100,98,95,98,99
2019-03-10,76,72,92,84,90,86,88,82,88,88,83,90,81,89,85,82,87,82,86,88,84,94,88,90,66,91,82,85,96,89,88,85,89,86,85,90,84,81,88,86,85,88,83,80,90,81,92,95,90,91,86
2019-03-17,78,72,83,63,84,80,80,73,80,84,78,79,80,81,82,66,72,78,77,80,84,81,80,83,63,80,74,71,83,80,76,68,74,78,76,78,68,77,84,89,79,79,79,81,83,77,86,84,83,81,89
2019-03-24,68,74,85,81,80,81,78,70,76,82,79,80,76,80,77,76,78,76,75,82,77,83,81,76,62,84,70,96,86,78,77,77,79,75,76,78,93,70,82,78,84,86,78,84,83,76,83,81,77,79,75
2019-03-31,75,76,83,77,81,84,74,80,83,82,75,78,78,84,81,72,82,66,74,77,86,86,82,87,71,85,80,86,84,80,78,85,81,78,83,81,95,82,86,89,78,79,84,87,77,81,89,78,82,87,81
2019-04-07,75,78,88,68,81,82,80,77,78,81,79,81,80,78,82,75,75,76,79,77,78,88,83,84,64,78,84,80,88,75,73,81,78,88,88,75,90,81,80,80,80,79,75,83,83,77,84,81,68,81,68
2019-04-14,83,89,98,86,91,94,89,86,87,91,90,98,80,93,99,79,82,86,82,85,87,95,97,98,64,88,86,88,100,100,89,93,88,88,84,86,96,100,96,96,82,80,85,88,91,77,94,95,90,94,87
2019-04-21,77,77,93,74,84,82,86,80,83,86,88,78,86,82,82,73,79,77,78,97,82,89,83,85,65,78,76,88,88,71,78,80,82,75,88,84,86,80,89,88,83,76,81,85,84,67,88,84,82,85,92
2019-04-28,76,80,90,81,89,84,82,72,80,85,90,80,82,88,84,82,86,85,79,88,84,91,92,94,67,82,85,80,90,89,83,86,87,80,78,90,82,84,91,93,84,95,84,84,86,77,86,87,85,90,100
2019-05-05,79,84,92,82,92,90,83,89,82,87,100,84,84,90,85,87,91,81,85,82,81,91,86,91,72,87,81,92,95,87,90,93,84,86,78,88,83,80,89,91,88,89,85,84,84,77,92,86,80,83,91
2019-05-12,78,85,94,77,93,84,85,85,84,85,86,91,87,87,82,77,81,83,86,88,91,90,88,90,63,83,73,82,97,89,86,84,83,85,82,87,82,91,87,85,85,88,82,88,88,86,90,93,76,85,96
2019-05-19,73,91,87,74,93,86,77,88,77,81,81,85,89,87,84,81,81,78,96,95,82,88,93,85,60,79,80,85,98,84,86,89,83,83,85,84,81,83,87,83,89,88,75,84,86,71,89,86,84,88,87
2019-05-26,73,89,85,67,86,79,81,73,73,80,72,77,78,81,72,70,69,73,71,79,79,78,85,82,57,74,69,79,87,88,82,80,74,76,60,71,72,79,79,82,74,77,74,75,81,72,77,81,74,79,93
2019-06-02,70,70,84,72,82,77,78,66,71,74,80,75,71,77,71,64,73,73,66,70,77,76,77,74,58,70,61,64,77,68,78,80,75,72,66,76,78,81,75,75,75,66,75,77,78,74,78,79,70,74,70
2019-06-09,73,64,84,65,83,74,70,68,69,79,75,63,74,75,70,62,69,67,65,73,80,72,81,72,56,69,62,73,86,73,76,78,78,70,80,71,67,77,74,76,65,61,71,81,75,61,73,79,80,75,72
