time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,45,42,61,52,64,47,44,47,23,54,65,33,53,40,63,28,55,35,70,46,40,67,55,42,16,60,39,59,49,50,50,35,60,56,11,39,77,59,46,21,37,10,51,64,26,8,51,62,50,27,0
2019-01-13,44,56,45,52,59,55,38,15,56,54,48,14,48,47,43,38,47,47,46,28,47,72,51,50,40,56,29,40,41,43,39,35,65,58,22,48,53,35,51,15,35,29,51,59,26,32,52,55,47,42,36
2019-01-20,50,68,73,65,51,51,30,30,45,54,64,9,33,53,61,23,32,58,53,11,45,53,49,59,11,48,66,53,48,67,49,29,77,46,42,39,48,38,42,45,41,48,68,57,31,24,42,34,46,36,12
2019-01-27,46,69,73,66,67,87,47,100,74,64,79,14,24,54,57,36,79,41,67,50,61,51,65,77,21,68,28,58,48,25,62,39,91,63,64,56,48,60,62,41,48,57,51,68,57,48,55,46,47,44,0
2019-02-03,48,27,47,87,62,73,48,38,52,63,65,32,32,51,63,30,53,50,49,56,43,62,49,53,24,61,57,70,44,24,62,58,80,60,63,51,27,46,47,20,58,58,45,67,53,24,56,69,38,35,36
2019-02-10,43,55,46,76,60,46,52,45,47,53,63,60,28,45,37,38,60,60,66,11,41,56,50,49,21,48,9,18,66,61,48,48,73,58,32,36,36,48,49,25,43,37,42,56,47,24,53,53,43,32,46
2019-02-17,43,14,62,65,67,75,41,53,73,63,63,47,61,51,70,43,60,58,67,60,67,62,58,50,18,51,38,31,55,91,48,73,63,64,32,49,57,58,49,35,53,9,43,67,48,24,47,42,41,49,12
2019-02-24,53,40,56,53,63,71,44,75,62,71,77,69,37,60,72,47,35,52,77,44,71,63,59,69,41,69,28,35,83,72,61,71,60,64,52,59,78,26,55,30,70,85,62,75,74,62,59,76,56,38,24
2019-03-03,62,0,60,57,73,72,38,31,56,72,70,33,52,60,78,36,68,83,66,28,62,64,64,53,27,73,67,54,63,49,54,54,79,62,43,54,65,66,53,31,52,58,54,68,60,56,62,67,66,44,24
2019-03-10,62,69,58,66,64,64,51,23,45,64,60,42,52,61,64,25,65,63,56,56,52,60,61,49,40,56,86,67,59,49,50,54,82,63,75,47,46,50,57,46,55,19,45,61,60,32,67,66,52,45,24
2019-03-17,51,69,68,43,61,50,41,23,19,59,66,28,42,50,62,30,57,61,53,62,50,66,60,49,29,63,67,53,52,61,57,54,66,53,64,45,37,58,60,36,49,29,49,66,40,32,52,45,46,25,72
2019-03-24,50,82,63,48,52,52,56,46,38,60,59,33,42,56,52,35,57,55,47,40,55,52,45,67,29,66,77,40,37,0,51,48,63,62,32,32,84,48,54,15,47,58,71,69,50,0,51,43,51,45,24
2019-03-31,35,55,60,71,60,65,32,53,42,52,61,47,23,37,72,38,68,48,47,63,62,48,48,34,34,47,68,44,51,49,46,44,80,63,32,36,59,54,42,30,36,59,56,61,48,24,54,52,49,42,0
2019-04-07,46,83,60,49,58,48,34,23,56,56,52,47,47,66,60,20,54,44,50,17,51,41,50,41,40,50,29,36,67,68,43,25,68,54,11,48,53,68,51,31,40,58,55,56,68,8,47,38,58,29,12
2019-04-14,58,29,52,69,62,68,31,40,66,66,53,49,30,51,63,27,64,79,81,53,59,54,62,60,33,70,60,42,47,26,57,51,69,59,56,66,67,51,60,27,52,40,55,68,65,17,52,65,63,46,38
2019-04-21,72,57,63,52,61,54,40,55,74,61,60,48,39,51,58,52,51,85,65,35,51,61,48,62,35,67,89,27,45,57,49,45,68,60,55,45,42,54,56,37,49,50,59,69,55,41,66,65,53,29,25
2019-04-28,44,42,62,89,61,58,38,54,57,52,75,76,67,55,57,46,62,64,86,51,51,67,51,72,38,84,59,36,67,37,54,49,82,68,54,50,46,57,56,26,52,69,72,65,31,32,47,50,53,44,12
2019-05-05,71,69,67,57,63,61,36,77,45,59,63,90,57,53,71,41,72,66,73,28,43,79,43,51,37,73,67,45,78,31,50,83,73,59,32,43,83,78,67,26,48,48,57,64,48,24,53,47,44,53,48
2019-05-12,53,28,66,54,66,62,41,70,45,60,61,28,38,53,48,36,80,56,86,28,62,62,48,68,48,58,38,31,56,43,50,44,70,56,54,65,60,62,55,46,42,58,60,73,71,16,56,47,58,43,24
2019-05-19,100,55,73,70,84,100,56,76,56,85,65,46,56,69,72,35,96,99,100,100,60,70,84,85,39,87,48,57,84,49,67,82,66,89,63,60,100,86,87,45,100,86,75,88,70,63,61,79,68,86,24
2019-05-26,28,27,51,42,50,35,41,38,44,39,44,19,42,44,40,38,32,39,53,39,47,52,35,46,24,45,28,44,59,43,42,29,53,53,11,43,36,58,43,51,40,85,47,55,39,32,49,36,65,33,12
2019-06-02,30,68,46,39,54,62,28,15,41,50,59,42,42,40,45,25,53,21,64,28,35,47,54,44,18,64,66,35,76,54,47,43,61,54,21,40,45,42,43,50,21,0,44,65,44,8,48,56,40,37,24
2019-06-09,30,0,48,64,51,57,31,37,22,49,43,9,37,42,76,17,49,33,35,61,41,42,43,51,18,49,57,30,50,30,56,43,71,54,31,32,38,55,39,35,39,0,45,52,30,8,44,50,56,41,24
2019-06-16,40,69,45,48,53,40,30,54,19,53,51,38,47,58,32,41,43,44,73,28,33,59,43,43,19,61,29,49,41,31,53,39,72,48,32,36,28,35,43,31,44,39,48,62,23,16,55,39,36,29,49
2019-06-23,39,54,53,17,45,49,37,60,60,44,51,9,65,44,55,20,63,43,52,22,39,52,49,44,29,28,29,22,65,36,37,38,59,51,52,39,29,42,38,45,43,38,39,61,39,39,46,44,46,33,12
2019-06-30,42,97,53,57,53,56,41,38,38,53,57,19,23,64,55,18,36,41,59,23,37,52,48,33,48,54,29,36,48,49,50,29,52,52,32,40,44,37,39,15,46,58,49,48,45,32,44,47,63,34,12
2019-07-07,46,82,57,34,55,51,31,38,63,49,55,14,14,46,58,28,71,50,35,39,49,51,63,52,34,54,48,48,66,55,43,58,53,53,42,39,45,48,50,35,36,38,57,67,59,48,52,53,49,31,12
2019-07-14,44,56,74,63,58,55,45,31,53,63,62,52,28,48,48,26,65,37,78,34,49,56,49,62,24,49,77,40,45,50,55,44,73,53,22,37,37,41,52,21,29,39,45,69,66,24,45,41,44,43,12
2019-07-21,37,72,64,57,55,49,33,88,27,63,60,25,59,47,57,42,30,48,76,23,49,58,54,38,28,71,20,19,46,51,59,66,62,61,78,41,53,34,47,27,38,20,59,61,44,25,50,51,54,40,25
2019-07-28,70,14,86,76,89,85,50,40,31,88,92,49,63,80,80,42,100,63,59,58,73,69,89,73,44,84,40,55,57,44,73,61,88,80,44,65,83,56,77,63,57,60,83,94,85,25,75,71,37,60,50
2019-08-04,58,85,81,70,89,70,52,47,50,85,100,53,72,74,67,44,80,20,79,23,56,100,82,98,41,93,89,100,90,56,78,100,86,79,22,69,89,40,80,21,72,20,58,96,87,41,63,66,67,49,37
2019-08-11,66,42,75,52,64,77,36,31,57,68,68,28,52,48,57,43,83,79,80,40,46,70,63,66,21,59,68,36,93,31,71,64,86,59,32,47,81,37,60,41,58,29,64,79,68,16,56,64,55,52,73
2019-08-18,41,82,50,51,56,57,31,30,45,58,47,51,47,60,58,33,82,46,75,28,37,46,53,52,18,61,68,66,33,37,66,44,73,51,85,46,59,40,52,35,32,0,44,67,53,56,60,55,79,32,12
2019-08-25,45,54,54,45,55,53,57,30,33,58,44,42,28,51,59,27,35,29,60,16,28,45,48,49,21,60,38,39,62,30,43,53,66,59,32,42,57,50,41,50,54,47,51,58,64,24,57,51,59,35,12
2019-09-01,27,53,55,66,53,55,25,22,21,51,55,36,32,43,47,37,55,58,65,21,39,60,38,36,20,67,27,34,74,47,45,47,60,58,20,40,46,48,58,29,48,9,37,76,46,38,42,42,45,35,23
2019-09-08,42,26,62,82,54,40,39,51,61,49,58,27,36,43,44,39,34,42,66,32,44,46,49,55,38,59,46,47,53,76,53,47,64,52,31,41,66,46,43,29,36,28,45,68,68,31,54,60,63,41,23
2019-09-15,27,53,55,80,52,70,31,52,50,59,51,41,50,48,53,32,38,52,90,37,32,51,44,54,31,57,82,64,50,41,49,38,83,42,41,45,51,37,56,20,35,37,44,73,71,23,43,65,71,35,34
2019-09-22,48,0,75,56,60,51,39,43,32,64,59,9,27,52,43,36,71,64,86,53,57,49,70,53,38,62,45,67,66,58,51,55,73,61,50,60,63,49,60,39,56,54,65,76,62,23,61,48,59,46,23
2019-09-29,25,26,51,85,55,49,37,65,25,61,59,22,31,48,50,50,67,46,65,27,49,64,54,45,42,69,46,29,62,63,48,46,66,50,100,48,56,76,49,29,57,55,63,70,61,0,54,55,100,41,34
2019-10-06,50,39,50,54,51,50,33,22,42,58,66,35,27,53,65,36,34,76,67,47,45,57,62,51,38,50,45,34,52,40,43,37,62,58,30,41,28,44,42,38,48,82,67,72,56,23,45,44,70,50,23
2019-10-13,44,39,63,57,51,50,48,65,25,53,57,36,18,52,52,31,44,53,73,63,33,48,48,65,40,51,45,46,73,81,48,37,60,53,30,47,57,51,50,34,41,36,58,68,48,23,37,54,70,50,45
2019-10-20,31,26,65,66,51,54,44,57,63,53,58,31,22,39,51,33,57,52,57,52,45,47,50,60,27,51,27,37,69,46,45,23,64,46,60,39,56,61,47,38,48,27,61,64,42,37,40,49,64,25,56
2019-10-27,55,0,45,74,57,43,65,29,49,57,55,13,26,42,59,36,80,59,79,37,53,42,43,63,35,49,63,54,41,52,42,55,52,50,60,51,30,60,42,19,30,27,46,62,53,52,44,49,74,41,34
2019-11-03,38,13,53,100,53,83,29,14,32,57,62,39,22,47,72,26,50,74,44,79,34,38,57,47,32,60,36,41,51,23,43,27,61,59,49,41,47,30,60,28,39,54,59,61,44,44,46,55,68,39,45
2019-11-10,59,26,72,76,63,57,50,57,31,61,66,26,100,57,91,47,56,65,68,62,56,56,71,49,44,77,18,45,75,68,53,68,79,66,30,48,78,43,60,28,65,18,66,70,73,7,55,51,76,37,22
2019-11-17,56,65,64,69,53,73,44,58,35,62,60,26,71,51,75,40,57,66,82,26,50,64,61,80,35,77,18,54,62,69,53,69,69,54,20,45,43,60,51,43,72,36,77,67,51,68,59,63,77,48,22
