time,US-AL,US-AK,US-AZ,US-AR,US-CA,US-CO,US-CT,US-DE,US-DC,US-FL,US-GA,US-HI,US-ID,US-IL,US-IN,US-IA,US-KS,US-KY,US-LA,US-ME,US-MD,US-MA,US-MI,US-MN,US-MS,US-MO,US-MT,US-NE,US-NV,US-NH,US-NJ,US-NM,US-NY,US-NC,US-ND,US-OH,US-OK,US-OR,US-PA,US-RI,US-SC,US-SD,US-TN,US-TX,US-UT,US-VT,US-VA,US-WA,US-WV,US-WI,US-WY
2019-01-06,48,97,45,63,66,56,51,70,68,60,51,36,53,39,57,49,52,64,33,87,76,57,39,32,51,82,36,47,48,64,62,58,62,68,34,55,33,31,56,52,59,30,54,59,57,73,91,27,66,34,47
2019-01-13,66,75,52,81,82,48,100,95,90,70,64,49,65,58,84,86,73,69,46,96,100,91,52,36,70,92,47,78,63,95,100,58,92,66,41,100,42,32,100,79,68,57,64,73,66,91,100,25,88,41,56
2019-01-20,72,68,34,75,37,67,76,65,50,93,69,43,48,64,69,93,53,80,46,86,58,75,62,59,71,67,53,69,45,77,75,49,85,66,65,91,37,27,69,72,68,56,77,73,58,100,65,22,74,73,65
2019-01-27,100,68,42,68,75,55,87,100,100,100,100,77,49,100,100,100,56,100,50,81,100,82,100,100,89,77,53,64,49,71,94,44,100,69,90,92,38,37,94,73,69,76,100,74,53,83,93,31,100,100,54
2019-02-03,54,74,57,80,88,71,50,52,61,53,54,56,81,50,55,78,66,61,40,60,57,55,57,76,56,78,83,60,71,58,60,54,67,51,83,51,45,100,52,55,57,63,68,77,91,67,60,100,56,59,78
2019-02-10,59,74,59,79,100,58,76,84,69,69,63,100,100,48,56,77,72,66,43,77,79,83,60,63,64,96,72,74,85,76,87,62,80,59,47,54,38,64,75,78,70,54,63,68,93,70,71,92,60,59,59
2019-02-17,82,86,100,97,72,75,73,90,88,52,74,67,86,42,50,99,81,66,63,65,97,65,49,71,93,79,64,100,100,62,86,100,75,77,51,54,54,43,76,74,80,76,84,85,73,60,90,41,68,56,56
2019-02-24,69,58,45,71,66,66,90,76,61,65,63,47,83,39,47,68,64,62,57,79,73,90,50,64,76,72,100,66,57,68,68,47,77,70,58,49,53,87,64,96,74,61,64,79,65,65,73,38,65,52,72
2019-03-03,88,59,48,100,76,69,72,77,63,77,78,51,51,43,55,69,62,77,52,72,71,70,41,67,84,71,77,71,61,60,80,64,75,67,60,53,53,53,67,79,76,78,78,95,76,45,74,38,71,45,72
2019-03-10,81,57,59,74,46,93,48,55,52,53,56,32,52,41,53,50,43,63,41,55,49,53,44,52,73,56,37,74,53,51,54,79,57,52,81,51,43,29,47,44,58,87,67,74,62,50,56,25,47,40,87
2019-03-17,31,44,29,42,52,42,39,43,51,57,36,29,38,27,35,26,35,40,22,38,42,41,27,23,30,35,29,41,39,39,44,41,48,39,24,35,28,26,37,44,43,24,38,46,46,54,51,22,40,25,37
2019-03-24,39,41,22,57,39,42,36,45,47,42,41,29,38,29,38,33,41,51,24,31,43,40,28,24,43,50,29,43,32,34,42,29,45,39,22,37,35,25,40,37,44,29,48,45,46,36,48,21,38,24,43
2019-03-31,46,42,19,63,42,37,48,52,61,51,46,21,42,30,35,36,35,46,45,50,46,49,30,28,58,42,28,40,27,39,53,42,57,56,23,36,38,25,40,43,62,32,48,61,49,39,58,22,37,28,31
2019-04-07,60,36,31,77,33,70,52,65,59,44,56,34,51,45,51,53,44,52,50,56,54,54,42,77,78,49,33,63,39,43,59,48,63,69,57,46,37,29,49,50,73,100,62,65,65,38,63,24,45,52,63
2019-04-14,87,53,28,74,34,41,55,86,65,59,75,31,48,45,52,39,48,68,50,46,64,61,48,33,100,53,33,42,39,58,71,39,72,79,30,58,44,30,63,58,82,30,68,71,54,52,81,24,61,37,43
2019-04-21,35,59,22,55,28,39,58,56,53,33,36,28,42,46,53,49,37,60,25,46,49,64,42,42,39,49,38,46,28,48,55,35,61,44,30,49,33,24,52,56,39,38,42,52,47,43,54,21,47,47,41
2019-04-28,38,45,26,92,31,53,57,71,62,41,42,42,39,47,56,48,54,64,30,48,58,55,45,34,42,75,43,48,39,43,63,27,64,40,33,59,60,19,57,51,46,39,54,75,51,47,56,17,52,36,56
2019-05-05,51,57,30,73,37,50,51,70,56,42,50,27,33,44,50,50,64,49,53,44,53,54,45,40,69,57,30,56,39,43,57,46,64,45,33,53,43,20,52,53,45,38,53,88,49,42,55,18,43,39,53
2019-05-12,35,51,27,55,53,39,56,65,54,38,31,24,57,51,51,63,46,47,23,52,49,58,46,46,33,50,41,62,42,59,58,32,65,38,39,50,35,30,50,60,36,49,40,51,52,43,51,27,43,47,52
2019-05-19,22,59,36,73,61,58,55,59,43,23,22,26,65,62,69,77,100,48,24,64,45,60,66,49,31,100,42,68,51,61,58,51,69,30,48,62,100,34,58,60,28,52,32,47,82,60,41,30,43,55,65
2019-05-26,20,63,23,57,39,53,56,74,47,26,23,22,53,63,74,78,75,56,15,60,53,52,62,41,22,68,34,63,41,50,76,39,70,35,31,75,58,26,69,54,28,53,30,47,59,53,53,24,57,55,56
2019-06-02,48,71,18,59,30,40,48,52,42,43,50,26,49,43,47,38,37,58,38,47,43,50,45,42,49,52,45,46,25,49,51,37,58,49,50,51,38,27,44,52,53,45,51,54,45,44,54,27,43,38,50
2019-06-09,29,56,25,33,42,35,53,57,46,56,38,20,33,45,55,50,38,49,15,59,48,52,55,52,23,42,33,48,30,52,58,32,64,44,51,53,28,31,48,59,48,44,36,40,32,42,52,25,42,53,46
2019-06-16,48,61,17,57,28,53,60,70,52,51,45,22,41,49,67,58,52,78,26,73,50,67,45,45,48,66,54,58,26,59,76,27,80,44,47,63,34,24,60,65,51,50,68,57,37,55,55,27,52,42,58
2019-06-23,42,60,19,52,25,34,48,35,33,40,32,58,36,47,47,62,38,49,32,67,32,57,47,50,48,44,47,47,25,58,48,26,56,27,49,46,24,29,44,56,31,43,49,57,24,38,36,28,38,62,35
2019-06-30,28,86,19,44,21,43,52,56,46,45,37,27,33,48,52,59,36,53,20,87,44,55,56,62,29,43,47,50,20,61,56,29,58,40,49,53,24,23,53,60,47,69,42,40,32,69,50,27,48,66,58
2019-07-07,57,92,24,48,24,30,39,57,53,54,46,25,35,28,29,28,27,34,100,59,43,45,35,41,75,32,43,34,22,49,50,28,49,46,54,36,21,25,42,52,50,43,43,48,30,50,48,26,41,34,39
2019-07-14,43,77,28,36,24,36,53,51,39,36,34,22,35,46,44,57,26,49,37,66,38,62,65,79,51,36,45,41,23,57,59,32,66,33,51,51,17,25,46,61,36,61,48,30,25,54,45,26,37,69,39
2019-07-21,28,81,35,28,33,36,54,56,44,52,29,23,38,28,33,33,25,33,28,62,43,57,39,34,32,31,31,36,31,49,56,36,61,35,27,35,16,24,42,60,35,30,33,29,35,52,46,27,42,34,47
2019-07-28,29,74,35,36,25,31,46,47,34,52,34,49,26,25,25,29,34,31,27,68,38,53,35,35,29,34,29,43,29,56,50,28,50,37,36,29,23,22,44,48,37,44,33,28,30,50,44,24,35,35,30
2019-08-04,32,63,34,45,22,30,47,44,31,43,30,45,46,24,26,29,33,26,19,69,33,50,34,41,36,33,40,39,28,54,52,33,57,34,41,33,23,32,39,49,30,49,36,24,40,51,39,31,32,41,42
2019-08-11,27,73,23,28,27,28,44,48,38,51,31,25,31,37,38,41,39,29,21,62,37,44,36,39,31,43,50,48,24,51,48,26,54,40,47,36,21,22,43,47,44,47,32,29,22,48,43,24,29,41,31
2019-08-18,36,79,23,51,23,30,55,48,42,36,36,20,27,35,49,43,45,41,29,66,40,54,36,33,42,47,30,49,21,65,49,25,55,48,35,40,34,25,44,60,46,34,44,29,19,44,50,22,32,30,40
2019-08-25,44,84,29,45,24,25,42,39,41,97,46,20,32,33,35,38,44,40,31,55,32,48,37,38,40,57,31,47,25,43,42,30,47,41,35,38,36,30,37,55,54,33,38,43,23,36,40,24,33,35,28
2019-09-01,26,57,31,26,28,33,60,58,39,80,42,24,41,32,36,33,24,31,18,70,40,58,42,41,28,28,35,35,31,56,54,21,60,71,40,38,16,27,43,59,76,32,25,29,32,53,61,23,33,33,39
2019-09-08,23,63,27,27,25,29,42,38,33,33,27,20,45,34,29,60,29,25,16,48,32,45,50,50,22,32,34,43,23,41,43,25,48,31,44,33,19,32,37,44,29,64,24,30,46,41,40,29,27,48,44
2019-09-15,21,61,26,34,30,23,31,34,26,29,22,30,49,31,24,51,29,21,25,43,27,37,30,41,23,35,40,37,30,32,32,27,39,28,51,25,21,31,27,36,29,34,20,58,45,35,31,25,20,37,32
2019-09-22,16,60,52,46,37,25,34,30,35,19,21,40,47,39,34,54,41,29,11,49,27,41,38,35,18,45,51,46,34,45,35,23,41,24,37,30,29,29,31,47,22,31,27,28,42,50,32,26,30,37,50
2019-09-29,32,65,23,40,30,39,48,49,40,26,31,26,57,41,38,67,51,39,19,56,39,55,48,49,30,49,52,59,38,54,51,52,57,37,53,42,32,32,46,55,38,47,34,35,45,46,41,26,37,51,59
2019-10-06,51,76,29,84,35,68,61,61,50,49,42,53,61,41,48,56,55,73,37,65,48,70,43,55,66,62,68,58,43,61,67,59,72,47,100,50,48,33,53,63,49,78,66,75,64,43,52,30,52,45,85
2019-10-13,71,62,27,63,32,43,50,58,48,54,71,32,62,35,45,42,40,65,47,60,48,55,43,38,64,46,44,44,40,48,57,40,66,65,48,45,34,31,51,54,77,40,61,76,54,59,56,27,56,39,49
2019-10-20,77,58,30,79,35,73,45,51,52,53,64,30,58,37,49,50,45,65,60,52,47,48,45,39,95,58,52,53,32,49,54,59,61,63,42,46,49,28,49,47,69,45,77,95,48,40,58,25,48,38,79
2019-10-27,68,51,39,70,38,100,54,63,65,46,69,33,65,46,53,54,64,62,51,64,59,56,46,32,95,65,60,63,54,48,65,70,72,69,41,50,46,28,59,60,75,39,70,87,71,43,67,24,62,45,75
